id,avis,note,reponse_proprietaire
avis-116,"C'était bon ce que j'ai mangé, je pensais pouvoir payer par carte de crédit mais le resto n'accepte que le paiement en liquide. Le guichet charge des frais onéreux, je me suis fait charger des frais 2,25$ plus des frais de réseau de 1,50$ sur 20$. Je trouve que les frais sont abusifs. La caissière passait son temps à mépriser des gens lorsqu'elle parlait avec les 2 membres du personnel qui travaillent dans cuisine et j'étais content de la voir partir.",3,"thanks for the stars Gabriel, now you know ,bring cash next time, by the way its not us charging network fees, thanks again"
avis-117,"Excellent food quality, tasty and filling at a good price.

Service was above and beyond, the staff remember their clients and treat them with care and respect.

The clientele seems to be abundant at all times and there are televisions for the customer's entertainment.

I would come back for more! Cheers!",4,"thanks for the stars, and the kind words"
avis-118,Besttttt,5,thanks for the stars
avis-119,"Great food,  good prices very tasty gyro.

Atmosphere lacking and dated",5,"thanks for the stars george, didn't get paid enough to change the decor"
avis-120,"The food was acceptable, the place was dirty and the guy taking the order had a bad attitude with every customer, was banging the drinks on the counter, was disrespectful to the clients. Luckily they have the guy with the white long hair, because hes putting a bit of joy in the air.",2,"you're right about the guy taking the orders, he is rude and sometimes inconsiderate of other people, we  have no choice but to keep him cause there's no one to take his place,-good help is hard to find"
avis-121,"Cool, il manque seulement de la bonne bière 🍻🍺, parce-qu'avec le numéro 6 du menu du menu une bonne bière serait parfaite à la place du Pepsi",5,Thanks for the stars and the support
avis-122,One of the best place for gyro in Montreal,5,thank you zymba
avis-123,The previous Review was a wrong press on the stars wanted to press the 5 but pressed the 1 Star by mistake,5,thanks for the stars Maria
avis-124,Si il y a une place où il faut aller pour manger les meilleurs souvlaki au poulet en ville cest l'endroit par excellence!! La nourriture est vraiment bonne ils offrent un bon service a la clientèle. Donc venez jeter un coups d'oeil je vous le recommande!!!!!,5,"Thanks for the comment,we try to make sure everyone gets the quality and service they deserve, thanks for sharing your experience"
avis-125,"J'attendais la réouverture depuis longtemps, pour les commentaires sur la poutine. Bien que les portions soient généreuses, je suis resté sur ma faim, ma copine aussi est resté avec un sous-Marin sur l'estomac. Le service est presque absent. C'est ok sans plus. Était-ce une mauvaise journée? Je ne m'y risquerai pas à nouveau.",3,"sorry , we would be happy toaccomidate you somehow if we can, just come in and tell us about your bad expeirience and we will try to fix it"
avis-126,Simply the best,5,thanks Charalabos
avis-127,"Les gyro étaient vraiment bien! Les meilleurs que j'ai mangé a date.

La poutine n'était pas super, je vous suggere de manger vos frites seules.

Le service est pas top non plus, la madame remonte un peu le niveau mais le chef semble pas content d'avoir des clients ^^'

Aussi, le restaurant n'accepte pas les cartes... il y a un ATM a l'interieur mais c'est un peu poche...",3,"thanks for the stars and the comment,but it is what it is"
avis-128,Ils sont super sympa.,5,"Thanks for the stars and the comment, we love you all"
avis-129,Asked for chicken got pork. Gyro was decent.,3,thanks for the comment Jonathan
avis-130,I been going there for years. And the quality and taste as always been just perfect. Love this place. The portions are great and the food is great.,5,thanks bro
avis-131,👍👌,5,thanks
avis-132,"Amazing food, come tuesday-thursday to avoid a long line",5,thanks Alexander
avis-133,Great tasty food and excellent service. The guy doing the food is great. Good prices. Remember they only take cash!,5,thanks for the info and the stars Yokasta
avis-134,best pitas!,5,thanks Anon
avis-135,"Although the guy making thr souvlakis is the worse, I rate 5 stars to that institution because the food is phenomenal and the guy at the cash is amazing",5,"thanks for the stars and the comment Don, by the way what time did you come?"
avis-136,"The gyro is to die for. It’s so good, you can’t just eat one without wanting a 2nd one. The fries are homemade. They taste really good.",5,thanks for the stars Duc
avis-137,"I came tonight I ordered,,and because I spoke in English your cashier didn't liked and kick me out like skilo and screem that you are in my country and others havy words manoli and your brother told me it's my wife she can say enthing she like very disappointed and originaly wee are from the same city",1,"sorry to hear that bro, but sh----- happens, you must of did something to explode the situation or she was having a bad day, sorry again"
avis-138,Best doners in mtl,5,thanks for the stars and the review
avis-139,"On attendait le retour de la ligne rouge depuis longtemps. Les fameux gyro, la poutine à la viande. Les frites sont toujours aussi délicieuses. Complètement rénové mais rien à changer. Toujours le légendaire boss a sa place, argent comptant seulement sinon y’a l’ATM. La même Télévision qui diffuse des images des plats de du restaurant en diaporama. Le service est rapide et tout juste courtois.",5,"Merci pour votre réponse, merci, merci vous êtes très gentil"
avis-140,"Great food 💯
Great staff 🤣👍🏻",5,Thanks again David
avis-141,"Service un peu long car très populaire et seulement 2 cuisiniers. Toutefois,  l'attente en valait le coup.",4,Thanks for the stars and the comment
avis-142,"Nothing's changed, thank god.
The food is as amazing as before & the prices haven't increased by much; $15 for a full plate!",5,Thanks for the stars and the comment
avis-143,Excellent fast food pour les petits cravings tard le soir. L’attitude du chef rajoute du piquant dans le repas: c’est comme ça qu’on sait que c’est bon!,5,Merci pour les étoiles
avis-144,Meilleur resto de pita au Québec,5,Merci andres
avis-145,"Excellent food , BEST GYRO in town, really glad they re opening",4,Thanks for the stars and the comment
